frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
1,0.03,0.0,0.0,0.0,0,3.1,STEER LEFT (HAZARD AHEAD),CRITICAL,99.0,0
2,0.07,0.0,0.0,0.0,0,2.5,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,150
3,0.1,0.0,0.07,0.02,2,2.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,144
4,0.13,0.0,0.15,0.01,4,-1.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,128
5,0.17,-0.0,0.22,-0.16,5,-4.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,112
6,0.2,-0.0,0.3,-0.18,6,-6.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,102
7,0.23,-0.0,0.38,-0.14,7,-8.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,91
8,0.27,-0.0,0.44,-0.15,7,-9.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,83
9,0.3,-0.0,0.49,-0.16,6,-10.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,77
10,0.33,-0.0,0.54,-0.11,6,-5.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,76
11,0.37,-0.0,0.58,-0.17,5,-7.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,75
12,0.4,-0.0,0.63,-0.27,5,-8.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,73
13,0.43,-0.0,0.67,-0.27,5,-9.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,69
14,0.47,-0.0,0.7,-0.27,5,-10.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,67
15,0.5,-0.0,0.73,-0.26,4,-11.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,64
16,0.53,-0.0,0.79,-0.27,5,-12.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,57
17,0.57,-0.0,0.84,-0.46,5,-12.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,55
18,0.6,-0.0,0.89,-0.42,5,-12.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,55
19,0.63,-0.0,0.93,-0.56,5,-13.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,54
20,0.67,-0.0,0.97,-0.52,5,-7.1,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,54
21,0.7,-0.0,1.01,-0.52,5,-2.5,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,52
22,0.73,-0.0,1.06,-0.51,5,-5.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,49
23,0.77,-0.0,1.11,-0.55,5,-7.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,48
24,0.8,-0.0,1.15,-0.25,5,-8.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,48
